Hour,Load [kW]
5697.0,6791.778851687375
5698.0,6694.753439520413
5699.0,6500.702615186488
5700.0,6597.72802735345
5701.0,6791.778851687375
5702.0,7082.855088188262
5703.0,6985.829676021299
5704.0,6209.626378685601
5705.0,6888.8042638543375
5706.0,9023.363331527513
5707.0,9702.541216696247
5708.0,9120.388743694471
5709.0,8053.109209857886
5710.0,6888.8042638543375
5711.0,6403.677203019525
5712.0,6209.626378685601
5713.0,5821.524730017751
5714.0,5627.473905683824
5715.0,5530.448493516861
5716.0,5433.423081349901
5717.0,4948.296020515088
5718.0,5045.32143268205
5719.0,5336.397669182938
5720.0,6112.600966518637
5721.0,6791.778851687375
5722.0,6694.753439520413
5723.0,6500.702615186488
5724.0,6597.72802735345
5725.0,6791.778851687375
5726.0,7082.855088188262
5727.0,6985.829676021299
5728.0,6209.626378685601
5729.0,6888.8042638543375
5730.0,9023.363331527513
5731.0,9702.541216696247
5732.0,9120.388743694471
5733.0,8053.109209857886
5734.0,6888.8042638543375
5735.0,6403.677203019525
5736.0,6209.626378685601
5737.0,5821.524730017751
5738.0,5627.473905683824
5739.0,5530.448493516861
5740.0,5433.423081349901
5741.0,4948.296020515088
5742.0,5045.32143268205
5743.0,5336.397669182938
5744.0,6112.600966518637
5745.0,6791.778851687375
5746.0,6694.753439520413
5747.0,6500.702615186488
5748.0,6597.72802735345
5749.0,6791.778851687375
5750.0,7082.855088188262
5751.0,6985.829676021299
5752.0,6209.626378685601
5753.0,6888.8042638543375
5754.0,9023.363331527513
5755.0,9702.541216696247
5756.0,9120.388743694471
5757.0,8053.109209857886
5758.0,6888.8042638543375
5759.0,6403.677203019525
5760.0,6209.626378685601
5761.0,5821.524730017751
5762.0,5627.473905683824
5763.0,5530.448493516861
5764.0,5433.423081349901
5765.0,4948.296020515088
5766.0,5045.32143268205
5767.0,5336.397669182938
5768.0,6112.600966518637
5769.0,6791.778851687375
5770.0,6694.753439520413
5771.0,6500.702615186488
5772.0,6597.72802735345
5773.0,6791.778851687375
5774.0,7082.855088188262
5775.0,6985.829676021299
5776.0,6209.626378685601
5777.0,6888.8042638543375
5778.0,9023.363331527513
5779.0,9702.541216696247
5780.0,9120.388743694471
5781.0,8053.109209857886
5782.0,6888.8042638543375
5783.0,6403.677203019525
5784.0,6209.626378685601
5785.0,5821.524730017751
5786.0,5627.473905683824
5787.0,5530.448493516861
5788.0,5433.423081349901
5789.0,4948.296020515088
5790.0,5045.32143268205
5791.0,5336.397669182938
5792.0,6112.600966518637
5793.0,6791.778851687375
5794.0,6694.753439520413
5795.0,6500.702615186488
5796.0,6597.72802735345
5797.0,6791.778851687375
5798.0,7082.855088188262
5799.0,6985.829676021299
5800.0,6209.626378685601
5801.0,6888.8042638543375
5802.0,9023.363331527513
5803.0,9702.541216696247
5804.0,9120.388743694471
5805.0,8053.109209857886
5806.0,6888.8042638543375
