Hour,Temperature/K
6085.0,300.95
6086.0,300.95
6087.0,300.95
6088.0,300.95
6089.0,300.95
6090.0,300.95
6091.0,300.95
6092.0,300.95
6093.0,300.95
6094.0,300.95
6095.0,300.95
6096.0,301.31
6097.0,301.31
6098.0,301.31
6099.0,301.31
6100.0,301.31
6101.0,301.31
6102.0,301.31
6103.0,301.31
6104.0,301.31
6105.0,301.31
6106.0,301.31
6107.0,301.31
6108.0,301.31
6109.0,301.31
6110.0,301.31
6111.0,301.31
6112.0,301.31
6113.0,301.31
6114.0,301.31
6115.0,301.31
6116.0,301.31
6117.0,301.31
6118.0,301.31
6119.0,301.31
6120.0,301.46999999999997
6121.0,301.46999999999997
6122.0,301.46999999999997
6123.0,301.46999999999997
6124.0,301.46999999999997
6125.0,301.46999999999997
6126.0,301.46999999999997
6127.0,301.46999999999997
6128.0,301.46999999999997
6129.0,301.46999999999997
6130.0,301.46999999999997
6131.0,301.46999999999997
6132.0,301.46999999999997
6133.0,301.46999999999997
6134.0,301.46999999999997
6135.0,301.46999999999997
6136.0,301.46999999999997
6137.0,301.46999999999997
6138.0,301.46999999999997
6139.0,301.46999999999997
6140.0,301.46999999999997
6141.0,301.46999999999997
6142.0,301.46999999999997
6143.0,301.46999999999997
6144.0,300.63
6145.0,300.63
6146.0,300.63
6147.0,300.63
6148.0,300.63
6149.0,300.63
6150.0,300.63
6151.0,300.63
6152.0,300.63
6153.0,300.63
6154.0,300.63
6155.0,300.63
6156.0,300.63
6157.0,300.63
6158.0,300.63
6159.0,300.63
6160.0,300.63
6161.0,300.63
6162.0,300.63
6163.0,300.63
6164.0,300.63
6165.0,300.63
6166.0,300.63
6167.0,300.63
6168.0,300.47999999999996
6169.0,300.47999999999996
6170.0,300.47999999999996
6171.0,300.47999999999996
6172.0,300.47999999999996
6173.0,300.47999999999996
6174.0,300.47999999999996
6175.0,300.47999999999996
6176.0,300.47999999999996
6177.0,300.47999999999996
6178.0,300.47999999999996
6179.0,300.47999999999996
6180.0,300.47999999999996
6181.0,300.47999999999996
6182.0,300.47999999999996
6183.0,300.47999999999996
6184.0,300.47999999999996
6185.0,300.47999999999996
6186.0,300.47999999999996
6187.0,300.47999999999996
6188.0,300.47999999999996
6189.0,300.47999999999996
6190.0,300.47999999999996
6191.0,300.47999999999996
6192.0,300.53
6193.0,300.53
6194.0,300.53
6195.0,300.53
6196.0,300.53
6197.0,300.53
6198.0,300.53
6199.0,300.53
6200.0,300.53
6201.0,300.53
6202.0,300.53
6203.0,300.53
6204.0,300.53
6205.0,300.53
6206.0,300.53
6207.0,300.53
6208.0,300.53
6209.0,300.53
6210.0,300.53
6211.0,300.53
6212.0,300.53
6213.0,300.53
6214.0,300.53
6215.0,300.53
6216.0,300.44
6217.0,300.44
6218.0,300.44
6219.0,300.44
6220.0,300.44
6221.0,300.44
6222.0,300.44
6223.0,300.44
6224.0,300.44
6225.0,300.44
6226.0,300.44
6227.0,300.44
6228.0,300.44
6229.0,300.44
6230.0,300.44
6231.0,300.44
6232.0,300.44
6233.0,300.44
6234.0,300.44
6235.0,300.44
6236.0,300.44
6237.0,300.44
6238.0,300.44
6239.0,300.44
6240.0,300.53
6241.0,300.53
6242.0,300.53
6243.0,300.53
6244.0,300.53
6245.0,300.53
6246.0,300.53
6247.0,300.53
6248.0,300.53
6249.0,300.53
6250.0,300.53
6251.0,300.53
6252.0,300.53
6253.0,300.53
6254.0,300.53
6255.0,300.53
6256.0,300.53
6257.0,300.53
6258.0,300.53
6259.0,300.53
6260.0,300.53
6261.0,300.53
6262.0,300.53
6263.0,300.53
6264.0,300.9
6265.0,300.9
6266.0,300.9
6267.0,300.9
6268.0,300.9
6269.0,300.9
6270.0,300.9
6271.0,300.9
6272.0,300.9
6273.0,300.9
6274.0,300.9
6275.0,300.9
6276.0,300.9
6277.0,300.9
6278.0,300.9
6279.0,300.9
6280.0,300.9
6281.0,300.9
6282.0,300.9
6283.0,300.9
6284.0,300.9
6285.0,300.9
6286.0,300.9
6287.0,300.9
6288.0,300.84
6289.0,300.84
6290.0,300.84
6291.0,300.84
6292.0,300.84
6293.0,300.84
6294.0,300.84
6295.0,300.84
6296.0,300.84
6297.0,300.84
6298.0,300.84
6299.0,300.84
6300.0,300.84
6301.0,300.84
6302.0,300.84
6303.0,300.84
6304.0,300.84
6305.0,300.84
6306.0,300.84
6307.0,300.84
6308.0,300.84
6309.0,300.84
6310.0,300.84
6311.0,300.84
6312.0,300.62
6313.0,300.62
6314.0,300.62
6315.0,300.62
6316.0,300.62
6317.0,300.62
6318.0,300.62
6319.0,300.62
6320.0,300.62
6321.0,300.62
6322.0,300.62
6323.0,300.62
6324.0,300.62
6325.0,300.62
6326.0,300.62
6327.0,300.62
6328.0,300.62
6329.0,300.62
6330.0,300.62
6331.0,300.62
6332.0,300.62
6333.0,300.62
6334.0,300.62
6335.0,300.62
6336.0,300.73999999999995
6337.0,300.73999999999995
6338.0,300.73999999999995
6339.0,300.73999999999995
6340.0,300.73999999999995
6341.0,300.73999999999995
6342.0,300.73999999999995
6343.0,300.73999999999995
6344.0,300.73999999999995
6345.0,300.73999999999995
6346.0,300.73999999999995
6347.0,300.73999999999995
6348.0,300.73999999999995
6349.0,300.73999999999995
6350.0,300.73999999999995
6351.0,300.73999999999995
6352.0,300.73999999999995
6353.0,300.73999999999995
6354.0,300.73999999999995
6355.0,300.73999999999995
6356.0,300.73999999999995
6357.0,300.73999999999995
6358.0,300.73999999999995
6359.0,300.73999999999995
6360.0,300.87
6361.0,300.87
6362.0,300.87
6363.0,300.87
6364.0,300.87
6365.0,300.87
6366.0,300.87
6367.0,300.87
6368.0,300.87
6369.0,300.87
6370.0,300.87
6371.0,300.87
6372.0,300.87
6373.0,300.87
6374.0,300.87
6375.0,300.87
6376.0,300.87
6377.0,300.87
6378.0,300.87
6379.0,300.87
6380.0,300.87
6381.0,300.87
6382.0,300.87
6383.0,300.87
6384.0,300.84999999999997
6385.0,300.84999999999997
6386.0,300.84999999999997
6387.0,300.84999999999997
6388.0,300.84999999999997
6389.0,300.84999999999997
6390.0,300.84999999999997
6391.0,300.84999999999997
6392.0,300.84999999999997
6393.0,300.84999999999997
6394.0,300.84999999999997
6395.0,300.84999999999997
6396.0,300.84999999999997
